Wed Jun 01 15:32:49 CEST 2016,,1dim_cluster,1dim_random,1dim_tSNE
networks\MLN_Convolution_Dense_Output\MLN_0.NNConf.json,1x1,0.7913934426229509,0.796106557377049,0.7359631147540984
networks\MLN_Convolution_Dense_Output\MLN_1.NNConf.json,4x1,0.7987704918032785,0.8016393442622952,0.7529713114754099
networks\MLN_Convolution_Dense_Output\MLN_10.NNConf.json,2x1,0.7973360655737702,0.8014344262295084,0.7461065573770491
networks\MLN_Convolution_Dense_Output\MLN_11.NNConf.json,3x1,0.7978483606557377,0.8008196721311475,0.749077868852459
networks\MLN_Convolution_Dense_Output\MLN_12.NNConf.json,5x1,0.7974385245901642,0.799795081967213,0.752766393442623
networks\MLN_Convolution_Dense_Output\MLN_13.NNConf.json,1x1 20,0.8017418032786885,0.8011270491803277,0.745184426229508
networks\MLN_Convolution_Dense_Output\MLN_14.NNConf.json,4x1 30,0.797438524590164,0.7998975409836067,0.752766393442623
networks\MLN_Convolution_Dense_Output\MLN_2.NNConf.json,9x1,0.7961065573770492,0.7960040983606558,0.7576844262295082
networks\MLN_Convolution_Dense_Output\MLN_3.NNConf.json,16x1,0.7929303278688524,0.7956967213114755,0.7495901639344262
networks\MLN_Convolution_Dense_Output\MLN_4.NNConf.json,4x1 1,0.7870901639344262,0.7915983606557375,0.7391393442622951
networks\MLN_Convolution_Dense_Output\MLN_5.NNConf.json,4x1 5,0.7935450819672132,0.7955942622950819,0.7486680327868853
networks\MLN_Convolution_Dense_Output\MLN_6.NNConf.json,4x1 10,0.796311475409836,0.800717213114754,0.7520491803278688
networks\MLN_Convolution_Dense_Output\MLN_7.NNConf.json,4x1 15,0.7985655737704919,0.7981557377049179,0.7502049180327869
networks\MLN_Convolution_Dense_Output\MLN_8.NNConf.json,4x1 25,0.7982581967213115,0.7982581967213116,0.7526639344262296
networks\MLN_Convolution_Dense_Output\MLN_9.NNConf.json,4x1, stride,0.799282786885246,0.7980532786885246,0.7480532786885247
networks\MLN_Convolution_Subsampling_Dense_Output\MLN_0.NNConf.json,4x1 max pooling,0.7596311475409836,0.7380122950819673,0.6305327868852459
networks\MLN_Convolution_Subsampling_Dense_Output\MLN_1.NNConf.json,4x1 avg pooling,0.7566598360655737,0.7367827868852459,0.6242827868852461
